Epoch 0, Loss: 26.0, w: 1.600000023841858, b: 0.5
Epoch 1, Loss: 0.4500000774860382, w: 1.4500000476837158, b: 0.4699999988079071
Epoch 2, Loss: 0.23489992320537567, w: 1.4589999914169312, b: 0.4880000054836273
Epoch 3, Loss: 0.2289060354232788, w: 1.4536000490188599, b: 0.5015000104904175
Epoch 4, Loss: 0.22471435368061066, w: 1.4495500326156616, b: 0.5152699947357178
Epoch 5, Loss: 0.22061288356781006, w: 1.4454190731048584, b: 0.5288779735565186
Epoch 6, Loss: 0.21658673882484436, w: 1.4413365125656128, b: 0.5423644185066223
Epoch 7, Loss: 0.21263393759727478, w: 1.4372906684875488, b: 0.5557270050048828
Epoch 8, Loss: 0.20875313878059387, w: 1.4332818984985352, b: 0.5689671039581299
Epoch 9, Loss: 0.2049432098865509, w: 1.4293099641799927, b: 0.5820858478546143
Epoch 10, Loss: 0.20120301842689514, w: 1.425374150276184, b: 0.5950842499732971
Epoch 11, Loss: 0.19753089547157288, w: 1.4214746952056885, b: 0.6079635620117188
Epoch 12, Loss: 0.19392582774162292, w: 1.4176108837127686, b: 0.6207247972488403
Epoch 13, Loss: 0.1903866082429886, w: 1.4137825965881348, b: 0.6333690881729126
Epoch 14, Loss: 0.186911940574646, w: 1.409989356994629, b: 0.645897388458252
Epoch 15, Loss: 0.18350064754486084, w: 1.4062308073043823, b: 0.6583108305931091
Epoch 16, Loss: 0.18015165627002716, w: 1.402506709098816, b: 0.6706104874610901
Epoch 17, Loss: 0.17686381936073303, w: 1.3988168239593506, b: 0.6827974319458008
Epoch 18, Loss: 0.17363592982292175, w: 1.3951607942581177, b: 0.6948726177215576
Epoch 19, Loss: 0.17046692967414856, w: 1.3915382623672485, b: 0.7068371176719666
Epoch 20, Loss: 0.16735585033893585, w: 1.3879488706588745, b: 0.7186919450759888
Epoch 21, Loss: 0.16430142521858215, w: 1.3843923807144165, b: 0.7304381132125854
Epoch 22, Loss: 0.16130299866199493, w: 1.3808685541152954, b: 0.742076575756073
Epoch 23, Loss: 0.15835896134376526, w: 1.3773770332336426, b: 0.7536083459854126
Epoch 24, Loss: 0.1554689258337021, w: 1.373917579650879, b: 0.7650344371795654
Epoch 25, Loss: 0.15263156592845917, w: 1.3704895973205566, b: 0.7763556838035583
Epoch 26, Loss: 0.14984586834907532, w: 1.3670933246612549, b: 0.7875732183456421
Epoch 27, Loss: 0.14711108803749084, w: 1.3637280464172363, b: 0.7986878752708435
Epoch 28, Loss: 0.14442625641822815, w: 1.3603936433792114, b: 0.8097006678581238
Epoch 29, Loss: 0.14179033041000366, w: 1.357089877128601, b: 0.8206124901771545
Epoch 30, Loss: 0.13920266926288605, w: 1.353816270828247, b: 0.8314242959022522
Epoch 31, Loss: 0.13666214048862457, w: 1.3505727052688599, b: 0.8421369791030884
Epoch 32, Loss: 0.13416787981987, w: 1.3473589420318604, b: 0.8527514934539795
Epoch 33, Loss: 0.13171938061714172, w: 1.3441745042800903, b: 0.8632686734199524
Epoch 34, Loss: 0.12931542098522186, w: 1.3410193920135498, b: 0.8736894726753235
Epoch 35, Loss: 0.12695534527301788, w: 1.3378931283950806, b: 0.8840147256851196
Epoch 36, Loss: 0.12463818490505219, w: 1.334795594215393, b: 0.8942453265190125
