Epoch 0, Loss: 5.0, w1: 0.15600000321865082,w2: 0.041999999433755875, b: 0.012000000104308128
Epoch 1, Loss: 0.09168795496225357, w1: 0.1749120056629181,w2: 0.04756799712777138, b: 0.013811999931931496
Epoch 2, Loss: 0.01832132413983345, w1: 0.17708039283752441,w2: 0.04868430644273758, b: 0.014378183521330357
Epoch 3, Loss: 0.01708664372563362, w1: 0.17720429599285126,w2: 0.04925507679581642, b: 0.014790773391723633
Epoch 4, Loss: 0.01692923717200756, w1: 0.17707905173301697,w2: 0.04975740984082222, b: 0.015183179639279842
Epoch 5, Loss: 0.01678905263543129, w1: 0.1769239455461502,w2: 0.05024959146976471, b: 0.015571704134345055
Epoch 6, Loss: 0.016650240868330002, w1: 0.1767657995223999,w2: 0.050738755613565445, b: 0.01595834456384182
Epoch 7, Loss: 0.016512608155608177, w1: 0.17660783231258392,w2: 0.05122576653957367, b: 0.01634334959089756
Epoch 8, Loss: 0.01637611724436283, w1: 0.1764504760503769,w2: 0.05171074718236923, b: 0.01672675646841526
Epoch 9, Loss: 0.01624073088169098, w1: 0.1762937605381012,w2: 0.052193719893693924, b: 0.017108574509620667
Epoch 10, Loss: 0.01610647886991501, w1: 0.17613768577575684,w2: 0.05267468839883804, b: 0.017488811165094376
Epoch 11, Loss: 0.015973329544067383, w1: 0.175982266664505,w2: 0.053153667598962784, b: 0.017867472022771835
Epoch 12, Loss: 0.015841299667954445, w1: 0.1758274883031845,w2: 0.053630661219358444, b: 0.018244564533233643
Epoch 13, Loss: 0.01571032963693142, w1: 0.17567336559295654,w2: 0.05410568416118622, b: 0.018620096147060394
Epoch 14, Loss: 0.015580456703901291, w1: 0.17551986873149872,w2: 0.054578736424446106, b: 0.01899407058954239
Epoch 15, Loss: 0.015451650135219097, w1: 0.17536701261997223,w2: 0.055049829185009, b: 0.019366497173905373
Epoch 16, Loss: 0.015323925763368607, w1: 0.17521478235721588,w2: 0.05551896616816521, b: 0.019737379625439644
Epoch 17, Loss: 0.015197265893220901, w1: 0.17506317794322968,w2: 0.05598616227507591, b: 0.02010672725737095
Epoch 18, Loss: 0.015071622096002102, w1: 0.1749121993780136,w2: 0.056451424956321716, b: 0.020474545657634735
